,ID,Pathogens,Link
65,dbAMP_05139,Micrococcus luteus,Positive
66,21834.0,Escherichia coli,Positive
67,dbAMP_25188,Acinetobacter baumannii,Positive
68,dbAMP_04815,Bacillus subtilis,Positive
69,17852.0,Candida albicans,Positive
70,dbAMP_21471,Staphylococcus aureus,Positive
71,dbAMP_19052,Candida albicans,Positive
72,dbAMP_14909,Escherichia coli,Positive
73,18746.0,Enterococcus faecalis,Positive
74,DRAMP02870,Staphylococcus aureus,Positive
75,dbAMP_05517,Staphylococcus aureus,Positive
76,dbAMP_17061,Escherichia coli,Positive
77,dbAMP_22968,Candida albicans,Positive
78,dbAMP_04823,Bacillus subtilis,Positive
79,18818.0,Salmonella enterica,Positive
80,14387.0,Staphylococcus aureus,Positive
81,dbAMP_19579,Pseudomonas aeruginosa,Positive
82,dbAMP_17013,Pseudomonas aeruginosa,Positive
83,dbAMP_21731,Salmonella enterica,Positive
84,dbAMP_18532,Salmonella enterica,Positive
85,dbAMP_16787,Bacillus subtilis,Positive
86,dbAMP_19277,Staphylococcus epidermidis,Positive
87,dbAMP_33254,Candida albicans,Positive
88,dbAMP_10731,Acinetobacter baumannii,Positive
89,dbAMP_02808,Staphylococcus aureus,Positive
90,dbAMP_15887,Staphylococcus aureus,Positive
91,dbAMP_19305,Salmonella enterica,Positive
92,dbAMP_19203,Candida albicans,Positive
93,DRAMP18356,Micrococcus luteus,Positive
94,dbAMP_17792,Escherichia coli,Positive
95,dbAMP_16310,Enterococcus faecalis,Positive
96,dbAMP_04717,Pseudomonas aeruginosa,Positive
97,dbAMP_04539,Bacillus subtilis,Positive
98,dbAMP_17579,Candida albicans,Positive
99,dbAMP_15797,Escherichia coli,Positive
100,dbAMP_14831,Escherichia coli,Positive
101,21053.0,Escherichia coli,Positive
102,dbAMP_15957,Pseudomonas aeruginosa,Positive
103,dbAMP_18170,Pseudomonas aeruginosa,Positive
104,dbAMP_21202,Escherichia coli,Positive
105,dbAMP_19012,Candida albicans,Positive
106,dbAMP_00391,Escherichia coli,Positive
107,dbAMP_05272,Staphylococcus aureus,Positive
108,dbAMP_11284,Escherichia coli,Positive
109,dbAMP_33391,Bacillus subtilis,Positive
110,dbAMP_16311,Enterococcus faecalis,Positive
111,dbAMP_17454,Escherichia coli,Positive
112,dbAMP_17472,Klebsiella pneumoniae,Positive
113,20340.0,Acinetobacter baumannii,Positive
114,20065.0,Bacillus cereus,Positive
115,dbAMP_33221,Staphylococcus aureus,Positive
116,21164.0,Pseudomonas aeruginosa,Positive
117,dbAMP_22529,Acinetobacter baumannii,Positive
118,dbAMP_19773,Pseudomonas aeruginosa,Positive
119,dbAMP_31899,Staphylococcus aureus,Positive
120,dbAMP_33102,Acinetobacter baumannii,Positive
121,21724.0,Klebsiella pneumoniae,Positive
122,dbAMP_16218,Staphylococcus epidermidis,Positive
123,2025.0,Pseudomonas aeruginosa,Positive
124,1824.0,Bacillus cereus,Positive
125,dbAMP_33075,Escherichia coli,Positive
126,dbAMP_22137,Escherichia coli,Positive
127,dbAMP_02029,Staphylococcus aureus,Positive
128,dbAMP_01052,Bacillus subtilis,Positive
129,dbAMP_22702,Staphylococcus aureus,Positive
130,dbAMP_02574,Bacillus megaterium,Positive
131,dbAMP_31866,Escherichia coli,Positive
132,dbAMP_17420,Staphylococcus aureus,Positive
133,dbAMP_27647,Staphylococcus epidermidis,Positive
134,17457.0,Candida albicans,Positive
135,dbAMP_14815,Staphylococcus aureus,Positive
136,dbAMP_16280,Micrococcus luteus,Positive
137,dbAMP_17543,Pseudomonas aeruginosa,Positive
138,18757.0,Escherichia coli,Positive
139,dbAMP_31695,Escherichia coli,Positive
140,dbAMP_00217,Staphylococcus aureus,Positive
141,dbAMP_21172,Staphylococcus epidermidis,Positive
142,dbAMP_02993,Staphylococcus aureus,Positive
143,dbAMP_11985,Bacillus subtilis,Positive
144,dbAMP_21958,Staphylococcus aureus,Positive
145,dbAMP_16121,Listeria monocytogenes,Positive
146,dbAMP_33940,Klebsiella pneumoniae,Positive
147,dbAMP_16716,Klebsiella pneumoniae,Positive
148,dbAMP_27639,Candida albicans,Positive
149,dbAMP_17130,Bacillus cereus,Positive
150,dbAMP_16305,Staphylococcus epidermidis,Positive
151,dbAMP_17118,Staphylococcus aureus,Positive
152,20208.0,Staphylococcus epidermidis,Positive
153,dbAMP_04167,Escherichia coli,Positive
154,dbAMP_11794,Staphylococcus aureus,Positive
155,dbAMP_18790,Salmonella enterica,Positive
156,21188.0,Bacillus subtilis,Positive
157,dbAMP_01214,Pseudomonas aeruginosa,Positive
158,dbAMP_25442,Enterococcus faecalis,Positive
159,19867.0,Enterococcus faecium,Positive
160,19876.0,Escherichia coli,Positive
161,dbAMP_21838,Salmonella enterica,Positive
162,19485.0,Klebsiella pneumoniae,Positive
163,dbAMP_09935,Bacillus subtilis,Positive
164,dbAMP_25383,Candida albicans,Positive
165,dbAMP_14797,Staphylococcus aureus,Positive
166,dbAMP_19430,Escherichia coli,Positive
167,dbAMP_24520,Acinetobacter baumannii,Positive
168,dbAMP_01289,Enterococcus faecalis,Positive
169,dbAMP_23756,Pseudomonas aeruginosa,Positive
170,20838.0,Listeria monocytogenes,Positive
171,dbAMP_24008,Bacillus subtilis,Positive
172,dbAMP_20536,Micrococcus luteus,Positive
173,dbAMP_16027,Bacillus subtilis,Positive
174,dbAMP_25416,Escherichia coli,Positive
175,dbAMP_00620,Bacillus megaterium,Positive
176,dbAMP_14889,Staphylococcus epidermidis,Positive
177,dbAMP_33141,Salmonella enterica,Positive
178,dbAMP_03967,Bacillus subtilis,Positive
179,dbAMP_01150,Escherichia coli,Positive
180,dbAMP_10499,Escherichia coli,Positive
181,17408.0,Escherichia coli,Positive
182,dbAMP_21704,Micrococcus luteus,Positive
183,20771.0,Pseudomonas aeruginosa,Positive
184,dbAMP_21276,Pseudomonas aeruginosa,Positive
185,dbAMP_05051,Cryptococcus neoformans,Positive
186,20495.0,Enterococcus faecalis,Positive
187,dbAMP_17964,Salmonella enterica,Positive
188,dbAMP_17203,Listeria monocytogenes,Positive
189,19609.0,Staphylococcus epidermidis,Positive
190,dbAMP_33279,Candida albicans,Positive
191,dbAMP_18588,Staphylococcus epidermidis,Positive
192,20177.0,Bacillus subtilis,Positive
193,dbAMP_20426,Staphylococcus aureus,Positive
194,dbAMP_28807,Klebsiella pneumoniae,Positive
195,dbAMP_27634,Escherichia coli,Positive
196,dbAMP_24955,Staphylococcus aureus,Positive
197,dbAMP_14886,Micrococcus luteus,Positive
198,dbAMP_21396,Staphylococcus aureus,Positive
199,dbAMP_24164,Salmonella enterica,Positive
200,dbAMP_15876,Escherichia coli,Positive
201,11336.0,Staphylococcus aureus,Positive
202,dbAMP_19109,Bacillus subtilis,Positive
203,dbAMP_04558,Escherichia coli,Positive
204,dbAMP_16474,Staphylococcus aureus,Positive
205,dbAMP_34282,Staphylococcus aureus,Positive
206,dbAMP_17555,Bacillus subtilis,Positive
207,dbAMP_23520,Escherichia coli,Positive
208,dbAMP_20252,Staphylococcus aureus,Positive
209,dbAMP_00369,Candida albicans,Positive
210,dbAMP_19831,Staphylococcus aureus,Positive
211,DRAMP04095,Escherichia coli,Positive
212,dbAMP_34588,Escherichia coli,Positive
213,5208.0,Escherichia coli,Positive
214,DRAMP18698,Micrococcus luteus,Positive
215,1164.0,Micrococcus luteus,Positive
216,dbAMP_27347,Staphylococcus aureus,Positive
217,dbAMP_11154,Staphylococcus aureus,Positive
218,dbAMP_33698,Klebsiella pneumoniae,Positive
219,dbAMP_23938,Escherichia coli,Positive
220,dbAMP_05645,Candida albicans,Positive
221,dbAMP_14816,Candida albicans,Positive
222,dbAMP_22683,Pseudomonas aeruginosa,Positive
223,19247.0,Staphylococcus aureus,Positive
224,197.0,Staphylococcus epidermidis,Positive
225,dbAMP_17127,Bacillus subtilis,Positive
226,dbAMP_04608,Pseudomonas aeruginosa,Positive
227,dbAMP_17570,Listeria monocytogenes,Positive
228,dbAMP_33341,Escherichia coli,Positive
229,dbAMP_02552,Enterococcus faecium,Positive
230,dbAMP_16039,Staphylococcus epidermidis,Positive
231,dbAMP_32412,Staphylococcus epidermidis,Positive
232,dbAMP_11295,Escherichia coli,Positive
233,dbAMP_21779,Staphylococcus aureus,Positive
234,dbAMP_33831,Escherichia coli,Positive
235,dbAMP_23559,Staphylococcus aureus,Positive
236,dbAMP_33027,Acinetobacter baumannii,Positive
237,dbAMP_14845,Salmonella enterica,Positive
238,20834.0,Escherichia coli,Positive
239,dbAMP_17753,Pseudomonas aeruginosa,Positive
240,dbAMP_27443,Escherichia coli,Positive
241,dbAMP_04320,Staphylococcus aureus,Positive
242,DRAMP29046,Staphylococcus epidermidis,Positive
243,dbAMP_27430,Micrococcus luteus,Positive
244,dbAMP_17750,Staphylococcus epidermidis,Positive
245,dbAMP_16554,Escherichia coli,Positive
246,dbAMP_31609,Staphylococcus aureus,Positive
247,21733.0,Staphylococcus aureus,Positive
248,dbAMP_33993,Klebsiella pneumoniae,Positive
249,19672.0,Escherichia coli,Positive
250,dbAMP_24055,Staphylococcus aureus,Positive
251,21628.0,Salmonella enterica,Positive
252,dbAMP_16754,Staphylococcus epidermidis,Positive
253,21829.0,Staphylococcus aureus,Positive
254,dbAMP_19157,Staphylococcus aureus,Positive
255,dbAMP_03712,Pseudomonas aeruginosa,Positive
256,dbAMP_11770,Staphylococcus aureus,Positive
257,dbAMP_11455,Staphylococcus aureus,Positive
258,19896.0,Staphylococcus aureus,Positive
259,dbAMP_19294,Pseudomonas aeruginosa,Positive
260,dbAMP_18876,Salmonella enterica,Positive
261,17218.0,Enterobacter cloacae,Positive
262,dbAMP_18405,Staphylococcus epidermidis,Positive
263,dbAMP_18214,Salmonella enterica,Positive
264,dbAMP_05617,Escherichia coli,Positive
265,20641.0,Escherichia coli,Positive
266,dbAMP_19156,Pseudomonas aeruginosa,Positive
267,21841.0,Escherichia coli,Positive
268,dbAMP_03400,Micrococcus luteus,Positive
269,dbAMP_31373,Pseudomonas aeruginosa,Positive
270,dbAMP_33307,Klebsiella pneumoniae,Positive
271,dbAMP_14729,Enterococcus faecalis,Positive
272,dbAMP_20564,Pseudomonas aeruginosa,Positive
273,dbAMP_16762,Pseudomonas aeruginosa,Positive
274,dbAMP_17649,Bacillus subtilis,Positive
275,DRAMP18660,Staphylococcus aureus,Positive
276,dbAMP_16435,Bacillus subtilis,Positive
277,dbAMP_16773,Pseudomonas aeruginosa,Positive
278,18048.0,Staphylococcus aureus,Positive
279,dbAMP_16422,Pseudomonas aeruginosa,Positive
280,dbAMP_27418,Escherichia coli,Positive
281,dbAMP_22289,Staphylococcus aureus,Positive
282,dbAMP_32991,Escherichia coli,Positive
283,DRAMP01429,Escherichia coli,Positive
284,dbAMP_31445,Klebsiella pneumoniae,Positive
285,17598.0,Escherichia coli,Positive
286,dbAMP_24774,Escherichia coli,Positive
287,dbAMP_10362,Staphylococcus aureus,Positive
288,dbAMP_17358,Candida albicans,Positive
289,dbAMP_00473,Bacillus cereus,Positive
290,19948.0,Escherichia coli,Positive
291,dbAMP_33348,Staphylococcus aureus,Positive
292,dbAMP_14822,Pseudomonas aeruginosa,Positive
293,dbAMP_19300,Staphylococcus epidermidis,Positive
294,dbAMP_23287,Staphylococcus aureus,Positive
295,dbAMP_15763,Bacillus subtilis,Positive
296,dbAMP_34044,Pseudomonas aeruginosa,Positive
297,dbAMP_16265,Escherichia coli,Positive
298,dbAMP_00396,Pseudomonas aeruginosa,Positive
299,18326.0,Bacillus subtilis,Positive
300,dbAMP_16325,Pseudomonas aeruginosa,Positive
301,19851.0,Bacillus subtilis,Positive
302,DRAMP18489,Staphylococcus aureus,Positive
303,dbAMP_19546,Escherichia coli,Positive
304,dbAMP_22636,Staphylococcus aureus,Positive
305,dbAMP_03238,Bacillus subtilis,Positive
306,dbAMP_16069,Bacillus subtilis,Positive
307,dbAMP_24307,Escherichia coli,Positive
308,dbAMP_20118,Pseudomonas aeruginosa,Positive
309,dbAMP_15782,Micrococcus luteus,Positive
310,21078.0,Escherichia coli,Positive
311,21077.0,Staphylococcus aureus,Positive
312,dbAMP_21876,Candida albicans,Positive
313,dbAMP_21220,Escherichia coli,Positive
314,dbAMP_21101,Escherichia coli,Positive
315,dbAMP_21287,Staphylococcus aureus,Positive
316,17225.0,Acinetobacter baumannii,Positive
317,17510.0,Staphylococcus aureus,Positive
318,dbAMP_15949,Salmonella enterica,Positive
319,dbAMP_10397,Klebsiella pneumoniae,Positive
320,dbAMP_01911,Escherichia coli,Positive
321,dbAMP_16057,Pseudomonas aeruginosa,Positive
322,dbAMP_12178,Candida albicans,Positive
323,dbAMP_20414,Staphylococcus aureus,Positive
324,19513.0,Klebsiella pneumoniae,Positive
325,dbAMP_16379,Escherichia coli,Positive
326,dbAMP_11172,Enterococcus faecalis,Positive
327,dbAMP_01804,Bacillus subtilis,Positive
328,dbAMP_33188,Staphylococcus aureus,Positive
329,dbAMP_16377,Enterobacter cloacae,Positive
330,dbAMP_33017,Acinetobacter baumannii,Positive
331,dbAMP_25416,Bacillus subtilis,Positive
332,710.0,Escherichia coli,Positive
333,DRAMP03463,Escherichia coli,Positive
334,dbAMP_19123,Candida albicans,Positive
335,21627.0,Salmonella enterica,Positive
336,dbAMP_04791,Staphylococcus aureus,Positive
337,dbAMP_16788,Bacillus subtilis,Positive
338,dbAMP_15956,Pseudomonas aeruginosa,Positive
339,21312.0,Pseudomonas aeruginosa,Positive
340,20855.0,Staphylococcus aureus,Positive
341,dbAMP_04656,Klebsiella pneumoniae,Positive
342,dbAMP_22902,Pseudomonas aeruginosa,Positive
343,dbAMP_17857,Micrococcus luteus,Positive
344,dbAMP_23950,Staphylococcus aureus,Positive
345,dbAMP_24650,Candida albicans,Positive
346,dbAMP_04317,Escherichia coli,Positive
347,dbAMP_03303,Staphylococcus epidermidis,Positive
348,9245.0,Salmonella enterica,Positive
349,dbAMP_16390,Acinetobacter baumannii,Positive
350,dbAMP_31661,Staphylococcus aureus,Positive
351,dbAMP_25280,Staphylococcus epidermidis,Positive
352,764.0,Escherichia coli,Positive
353,dbAMP_05478,Candida parapsilosis,Positive
354,17249.0,Escherichia coli,Positive
355,dbAMP_15966,Pseudomonas aeruginosa,Positive
356,21068.0,Acinetobacter baumannii,Positive
357,20958.0,Acinetobacter baumannii,Positive
358,dbAMP_24034,Pseudomonas aeruginosa,Positive
359,dbAMP_33022,Bacillus subtilis,Positive
360,dbAMP_33688,Klebsiella pneumoniae,Positive
361,dbAMP_04331,Escherichia coli,Positive
362,dbAMP_10838,Micrococcus luteus,Positive
363,dbAMP_18379,Pseudomonas aeruginosa,Positive
364,21035.0,Pseudomonas aeruginosa,Positive
365,dbAMP_05188,Salmonella enterica,Positive
366,dbAMP_01142,Micrococcus luteus,Positive
367,dbAMP_22848,Bacillus subtilis,Positive
368,dbAMP_23148,Staphylococcus aureus,Positive
369,dbAMP_31811,Pseudomonas aeruginosa,Positive
370,dbAMP_24238,Staphylococcus epidermidis,Positive
371,dbAMP_33033,Staphylococcus epidermidis,Positive
372,17528.0,Salmonella enterica,Positive
373,19207.0,Escherichia coli,Positive
374,17274.0,Escherichia coli,Positive
375,dbAMP_28804,Klebsiella pneumoniae,Positive
376,dbAMP_34284,Escherichia coli,Positive
377,19141.0,Bacillus subtilis,Positive
378,dbAMP_16415,Enterococcus faecalis,Positive
379,22105.0,Listeria monocytogenes,Positive
380,21531.0,Bacillus subtilis,Positive
381,dbAMP_19309,Acinetobacter baumannii,Positive
382,dbAMP_05646,Micrococcus luteus,Positive
383,21623.0,Staphylococcus aureus,Positive
384,dbAMP_02895,Candida albicans,Positive
385,dbAMP_05513,Bacillus subtilis,Positive
386,dbAMP_32883,Escherichia coli,Positive
387,dbAMP_22745,Micrococcus luteus,Positive
388,19560.0,Enterococcus faecalis,Positive
389,dbAMP_23211,Bacillus subtilis,Positive
390,20394.0,Escherichia coli,Positive
391,dbAMP_15994,Escherichia coli,Positive
392,dbAMP_18792,Salmonella enterica,Positive
393,dbAMP_02558,Listeria monocytogenes,Positive
394,dbAMP_25056,Pseudomonas aeruginosa,Positive
395,18812.0,Salmonella enterica,Positive
396,dbAMP_03638,Bacillus subtilis,Positive
397,dbAMP_25047,Escherichia coli,Positive
398,dbAMP_15872,Staphylococcus aureus,Positive
399,19234.0,Staphylococcus aureus,Positive
400,dbAMP_27586,Staphylococcus aureus,Positive
401,dbAMP_02044,Enterococcus faecalis,Positive
402,19948.0,Pseudomonas aeruginosa,Positive
403,dbAMP_21533,Candida albicans,Positive
404,dbAMP_15827,Bacillus subtilis,Positive
405,DRAMP01844,Enterobacter cloacae,Positive
406,20830.0,Micrococcus luteus,Positive
407,dbAMP_19131,Pseudomonas aeruginosa,Positive
408,dbAMP_19695,Escherichia coli,Positive
409,dbAMP_15955,Staphylococcus aureus,Positive
410,dbAMP_16427,Escherichia coli,Positive
411,22284.0,Salmonella enterica,Positive
412,dbAMP_27604,Escherichia coli,Positive
413,dbAMP_27425,Salmonella enterica,Positive
414,dbAMP_18194,Escherichia coli,Positive
415,dbAMP_12246,Cryptococcus neoformans,Positive
416,dbAMP_16783,Escherichia coli,Positive
417,dbAMP_03247,Micrococcus luteus,Positive
418,dbAMP_22812,Candida albicans,Positive
419,dbAMP_05272,Escherichia coli,Positive
420,dbAMP_25373,Micrococcus luteus,Positive
421,dbAMP_03023,Staphylococcus aureus,Positive
422,dbAMP_23137,Bacillus subtilis,Positive
423,dbAMP_24742,Pseudomonas aeruginosa,Positive
424,20959.0,Pseudomonas aeruginosa,Positive
425,dbAMP_21393,Escherichia coli,Positive
426,dbAMP_26141,Pseudomonas aeruginosa,Positive
427,dbAMP_04079,Pseudomonas aeruginosa,Positive
428,dbAMP_18607,Escherichia coli,Positive
429,dbAMP_18729,Micrococcus luteus,Positive
430,dbAMP_10501,Acinetobacter baumannii,Positive
431,dbAMP_12830,Staphylococcus aureus,Positive
432,dbAMP_22714,Staphylococcus aureus,Positive
433,dbAMP_31629,Escherichia coli,Positive
434,dbAMP_04423,Listeria monocytogenes,Positive
435,dbAMP_17498,Escherichia coli,Positive
436,dbAMP_21431,Escherichia coli,Positive
437,dbAMP_02928,Escherichia coli,Positive
438,dbAMP_16239,Staphylococcus aureus,Positive
439,18818.0,Escherichia coli,Positive
440,dbAMP_24146,Bacillus subtilis,Positive
441,DRAMP03642,Escherichia coli,Positive
442,dbAMP_16164,Staphylococcus aureus,Positive
443,dbAMP_25173,Staphylococcus epidermidis,Positive
444,dbAMP_00965,Acinetobacter baumannii,Positive
445,DRAMP18712,Listeria monocytogenes,Positive
446,19939.0,Escherichia coli,Positive
447,dbAMP_24139,Escherichia coli,Positive
448,dbAMP_16752,Staphylococcus aureus,Positive
449,dbAMP_16245,Bacillus subtilis,Positive
450,dbAMP_10747,Pseudomonas aeruginosa,Positive
451,dbAMP_19292,Salmonella enterica,Positive
452,dbAMP_14846,Candida albicans,Positive
453,dbAMP_16057,Bacillus subtilis,Positive
454,dbAMP_18281,Pseudomonas aeruginosa,Positive
455,dbAMP_27234,Staphylococcus aureus,Positive
456,DRAMP29094,Staphylococcus aureus,Positive
457,dbAMP_21304,Escherichia coli,Positive
458,dbAMP_21028,Pseudomonas aeruginosa,Positive
459,dbAMP_27272,Staphylococcus epidermidis,Positive
460,20543.0,Staphylococcus aureus,Positive
461,21893.0,Acinetobacter baumannii,Positive
462,dbAMP_16308,Escherichia coli,Positive
463,22292.0,Escherichia coli,Positive
464,dbAMP_03613,Candida parapsilosis,Positive
465,2870.0,Bacillus subtilis,Positive
466,dbAMP_16816,Staphylococcus aureus,Positive
467,dbAMP_16761,Escherichia coli,Positive
468,dbAMP_27603,Enterococcus faecium,Positive
469,dbAMP_21130,Staphylococcus aureus,Positive
470,dbAMP_22093,Escherichia coli,Positive
471,20583.0,Staphylococcus epidermidis,Positive
472,dbAMP_21205,Escherichia coli,Positive
473,dbAMP_11044,Pseudomonas aeruginosa,Positive
474,852.0,Pseudomonas aeruginosa,Positive
475,dbAMP_21638,Pseudomonas aeruginosa,Positive
476,dbAMP_34134,Staphylococcus aureus,Positive
477,dbAMP_22634,Bacillus megaterium,Positive
478,dbAMP_21542,Bacillus subtilis,Positive
479,21188.0,Pseudomonas aeruginosa,Positive
480,dbAMP_06016,Klebsiella pneumoniae,Positive
481,19205.0,Salmonella enterica,Positive
482,dbAMP_02297,Staphylococcus aureus,Positive
483,dbAMP_11081,Bacillus cereus,Positive
484,dbAMP_23144,Escherichia coli,Positive
485,22346.0,Staphylococcus aureus,Positive
486,dbAMP_03451,Staphylococcus aureus,Positive
487,dbAMP_04167,Pseudomonas aeruginosa,Positive
488,dbAMP_21065,Escherichia coli,Positive
489,19644.0,Escherichia coli,Positive
490,dbAMP_27600,Enterococcus faecium,Positive
491,dbAMP_27402,Pseudomonas aeruginosa,Positive
492,dbAMP_33029,Bacillus subtilis,Positive
493,dbAMP_01454,Pseudomonas aeruginosa,Positive
494,dbAMP_16904,Salmonella enterica,Positive
495,dbAMP_21231,Staphylococcus aureus,Positive
496,dbAMP_11010,Candida albicans,Positive
497,dbAMP_04183,Escherichia coli,Positive
498,19701.0,Pseudomonas aeruginosa,Positive
499,dbAMP_19578,Klebsiella pneumoniae,Positive
500,dbAMP_02516,Staphylococcus aureus,Positive
501,dbAMP_19286,Staphylococcus epidermidis,Positive
502,dbAMP_23065,Staphylococcus aureus,Positive
503,dbAMP_04932,Staphylococcus aureus,Positive
504,20501.0,Klebsiella pneumoniae,Positive
505,dbAMP_19720,Enterococcus faecium,Positive
506,DRAMP03140,Staphylococcus epidermidis,Positive
507,dbAMP_14825,Salmonella enterica,Positive
508,dbAMP_15743,Escherichia coli,Positive
509,dbAMP_25313,Staphylococcus epidermidis,Positive
510,dbAMP_33693,Pseudomonas aeruginosa,Positive
511,dbAMP_18765,Salmonella enterica,Positive
512,dbAMP_24001,Bacillus subtilis,Positive
513,dbAMP_16729,Escherichia coli,Positive
514,dbAMP_28776,Staphylococcus aureus,Positive
515,dbAMP_02992,Klebsiella pneumoniae,Positive
516,dbAMP_16751,Pseudomonas aeruginosa,Positive
517,dbAMP_16283,Enterobacter cloacae,Positive
518,dbAMP_11361,Escherichia coli,Positive
519,dbAMP_18179,Staphylococcus aureus,Positive
520,dbAMP_18945,Escherichia coli,Positive
521,dbAMP_32313,Escherichia coli,Positive
522,dbAMP_22710,Escherichia coli,Positive
523,dbAMP_16715,Klebsiella pneumoniae,Positive
524,dbAMP_02950,Enterococcus faecalis,Positive
525,dbAMP_14720,Staphylococcus epidermidis,Positive
526,8354.0,Escherichia coli,Positive
527,22166.0,Klebsiella pneumoniae,Positive
528,dbAMP_02049,Enterococcus faecalis,Positive
529,dbAMP_18231,Staphylococcus aureus,Positive
530,dbAMP_27110,Enterococcus faecalis,Positive
531,dbAMP_04079,Salmonella enterica,Positive
532,dbAMP_23138,Micrococcus luteus,Positive
533,22166.0,Listeria monocytogenes,Positive
534,dbAMP_33021,Staphylococcus epidermidis,Positive
535,20500.0,Candida albicans,Positive
536,dbAMP_18732,Micrococcus luteus,Positive
537,dbAMP_31341,Enterococcus faecalis,Positive
538,dbAMP_17138,Escherichia coli,Positive
539,dbAMP_10747,Escherichia coli,Positive
540,dbAMP_02020,Staphylococcus aureus,Positive
541,17220.0,Pseudomonas aeruginosa,Positive
542,dbAMP_23161,Pseudomonas aeruginosa,Positive
543,2025.0,Candida albicans,Positive
544,dbAMP_21295,Staphylococcus aureus,Positive
545,dbAMP_21895,Escherichia coli,Positive
546,dbAMP_21832,Staphylococcus aureus,Positive
547,dbAMP_33710,Micrococcus luteus,Positive
548,DRAMP01214,Staphylococcus aureus,Positive
549,dbAMP_22022,Staphylococcus aureus,Positive
550,dbAMP_23160,Enterococcus faecium,Positive
551,dbAMP_27236,Staphylococcus epidermidis,Positive
552,dbAMP_23956,Staphylococcus aureus,Positive
553,dbAMP_24959,Staphylococcus aureus,Positive
554,dbAMP_10549,Staphylococcus aureus,Positive
555,17415.0,Klebsiella pneumoniae,Positive
556,dbAMP_22634,Candida albicans,Positive
557,dbAMP_18995,Klebsiella pneumoniae,Positive
558,dbAMP_21810,Pseudomonas aeruginosa,Positive
559,dbAMP_23107,Klebsiella pneumoniae,Positive
560,dbAMP_23465,Bacillus subtilis,Positive
561,dbAMP_04659,Staphylococcus aureus,Positive
562,21713.0,Acinetobacter baumannii,Positive
563,dbAMP_16561,Staphylococcus aureus,Positive
