,PeptideID,TargetID,ID,Pathogens,Link
71,5808,11,dbAMP_17670,Pseudomonas aeruginosa,Positive
72,2153,14,DRAMP02933,Staphylococcus aureus,Positive
73,656,14,19123.0,Staphylococcus aureus,Positive
74,7250,11,dbAMP_20285,Pseudomonas aeruginosa,Positive
75,4113,14,dbAMP_11065,Staphylococcus aureus,Positive
76,2047,14,759.0,Staphylococcus aureus,Positive
77,3096,15,dbAMP_03124,Staphylococcus epidermidis,Positive
78,4167,12,dbAMP_11308,Saccharomyces cerevisiae,Positive
79,1480,6,21214.0,Enterococcus faecium,Positive
80,3230,11,dbAMP_03499,Pseudomonas aeruginosa,Positive
81,10560,11,dbAMP_31629,Pseudomonas aeruginosa,Positive
82,1100,3,20182.0,Bacillus subtilis,Positive
83,4036,7,dbAMP_10747,Escherichia coli,Positive
84,130,7,17274.0,Escherichia coli,Positive
85,4410,14,dbAMP_14808,Staphylococcus aureus,Positive
86,1965,11,3382.0,Pseudomonas aeruginosa,Positive
87,9828,3,dbAMP_24792,Bacillus subtilis,Positive
88,9408,15,dbAMP_23998,Staphylococcus epidermidis,Positive
89,368,8,18045.0,Klebsiella pneumoniae,Positive
90,2303,7,dbAMP_00215,Escherichia coli,Positive
91,289,11,17798.0,Pseudomonas aeruginosa,Positive
92,4395,7,dbAMP_14793,Escherichia coli,Positive
93,1356,3,20834.0,Bacillus subtilis,Positive
94,5463,3,dbAMP_17120,Bacillus subtilis,Positive
95,8641,14,dbAMP_22620,Staphylococcus aureus,Positive
96,7233,15,dbAMP_20250,Staphylococcus epidermidis,Positive
97,9604,13,dbAMP_24310,Salmonella enterica,Positive
98,2380,14,dbAMP_00593,Staphylococcus aureus,Positive
99,1575,7,21618.0,Escherichia coli,Positive
100,4678,7,dbAMP_15914,Escherichia coli,Positive
101,8209,11,dbAMP_21890,Pseudomonas aeruginosa,Positive
102,9583,6,dbAMP_24288,Enterococcus faecium,Positive
103,5429,0,dbAMP_17067,Acinetobacter baumannii,Positive
104,6097,7,dbAMP_18138,Escherichia coli,Positive
105,2998,12,dbAMP_02895,Saccharomyces cerevisiae,Positive
106,464,11,18284.0,Pseudomonas aeruginosa,Positive
107,3000,3,dbAMP_02904,Bacillus subtilis,Positive
108,827,14,19669.0,Staphylococcus aureus,Positive
109,4585,11,dbAMP_15765,Pseudomonas aeruginosa,Positive
110,4030,11,dbAMP_10717,Pseudomonas aeruginosa,Positive
111,6100,11,dbAMP_18141,Pseudomonas aeruginosa,Positive
112,9753,13,dbAMP_24623,Salmonella enterica,Positive
113,5153,7,dbAMP_16500,Escherichia coli,Positive
114,6006,8,dbAMP_17990,Klebsiella pneumoniae,Positive
115,3256,0,dbAMP_03565,Acinetobacter baumannii,Positive
116,1488,8,21255.0,Klebsiella pneumoniae,Positive
117,4634,10,dbAMP_15836,Micrococcus luteus,Positive
118,2044,11,7464.0,Pseudomonas aeruginosa,Positive
119,8778,14,dbAMP_22792,Staphylococcus aureus,Positive
120,11076,14,dbAMP_33280,Staphylococcus aureus,Positive
121,4800,3,dbAMP_16046,Bacillus subtilis,Positive
122,10850,3,dbAMP_32943,Bacillus subtilis,Positive
123,5498,7,dbAMP_17188,Escherichia coli,Positive
124,2,6,10154.0,Enterococcus faecium,Positive
125,2616,14,dbAMP_01948,Staphylococcus aureus,Positive
126,4916,14,dbAMP_16177,Staphylococcus aureus,Positive
127,10400,7,dbAMP_27639,Escherichia coli,Positive
128,8621,15,dbAMP_22591,Staphylococcus epidermidis,Positive
129,10426,14,dbAMP_28176,Staphylococcus aureus,Positive
130,9576,7,dbAMP_24278,Escherichia coli,Positive
131,2272,15,DRAMP29039,Staphylococcus epidermidis,Positive
132,7274,15,dbAMP_20325,Staphylococcus epidermidis,Positive
133,8737,10,dbAMP_22732,Micrococcus luteus,Positive
134,4878,10,dbAMP_16139,Micrococcus luteus,Positive
135,3002,7,dbAMP_02908,Escherichia coli,Positive
136,5738,7,dbAMP_17559,Escherichia coli,Positive
137,464,7,18284.0,Escherichia coli,Positive
138,1488,7,21255.0,Escherichia coli,Positive
139,4000,7,dbAMP_10576,Escherichia coli,Positive
140,3305,7,dbAMP_03681,Escherichia coli,Positive
141,712,7,19288.0,Escherichia coli,Positive
142,5152,7,dbAMP_16499,Escherichia coli,Positive
143,5239,7,dbAMP_16713,Escherichia coli,Positive
144,1930,0,22374.0,Acinetobacter baumannii,Positive
145,3792,7,dbAMP_05777,Escherichia coli,Positive
146,10758,3,dbAMP_32455,Bacillus subtilis,Positive
147,4792,14,dbAMP_16038,Staphylococcus aureus,Positive
148,7391,14,dbAMP_20471,Staphylococcus aureus,Positive
149,2543,10,dbAMP_01768,Micrococcus luteus,Positive
150,1088,13,20168.0,Salmonella enterica,Positive
151,4424,15,dbAMP_14824,Staphylococcus epidermidis,Positive
152,1526,0,21465.0,Acinetobacter baumannii,Positive
153,4184,9,dbAMP_11568,Listeria monocytogenes,Positive
154,9577,10,dbAMP_24279,Micrococcus luteus,Positive
155,4805,10,dbAMP_16051,Micrococcus luteus,Positive
156,3553,14,dbAMP_04667,Staphylococcus aureus,Positive
157,6403,7,dbAMP_18667,Escherichia coli,Positive
158,832,3,19674.0,Bacillus subtilis,Positive
159,4051,7,dbAMP_10839,Escherichia coli,Positive
160,5404,7,dbAMP_17024,Escherichia coli,Positive
161,8167,11,dbAMP_21800,Pseudomonas aeruginosa,Positive
162,10288,14,dbAMP_27354,Staphylococcus aureus,Positive
163,1985,7,4966.0,Escherichia coli,Positive
164,5948,2,dbAMP_17897,Bacillus megaterium,Positive
165,3777,14,dbAMP_05722,Staphylococcus aureus,Positive
166,5666,3,dbAMP_17475,Bacillus subtilis,Positive
167,5745,14,dbAMP_17571,Staphylococcus aureus,Positive
168,5983,7,dbAMP_17964,Escherichia coli,Positive
169,10312,11,dbAMP_27427,Pseudomonas aeruginosa,Positive
170,7754,13,dbAMP_21082,Salmonella enterica,Positive
171,2316,14,dbAMP_00260,Staphylococcus aureus,Positive
172,118,11,17245.0,Pseudomonas aeruginosa,Positive
173,10519,11,dbAMP_31182,Pseudomonas aeruginosa,Positive
174,11294,1,dbAMP_33926,Bacillus cereus,Positive
175,2319,9,dbAMP_00302,Listeria monocytogenes,Positive
176,7104,3,dbAMP_19741,Bacillus subtilis,Positive
177,7549,7,dbAMP_20775,Escherichia coli,Positive
178,4008,7,dbAMP_10598,Escherichia coli,Positive
179,10542,0,dbAMP_31331,Acinetobacter baumannii,Positive
180,6106,13,dbAMP_18148,Salmonella enterica,Positive
181,9884,7,dbAMP_24901,Escherichia coli,Positive
182,10917,0,dbAMP_33103,Acinetobacter baumannii,Positive
183,10915,0,dbAMP_33101,Acinetobacter baumannii,Positive
184,912,7,19866.0,Escherichia coli,Positive
185,1036,7,20068.0,Escherichia coli,Positive
186,5195,14,dbAMP_16564,Staphylococcus aureus,Positive
187,10916,14,dbAMP_33102,Staphylococcus aureus,Positive
188,1046,0,20083.0,Acinetobacter baumannii,Positive
189,2191,7,DRAMP04165,Escherichia coli,Positive
190,6979,7,dbAMP_19528,Escherichia coli,Positive
191,813,7,19635.0,Escherichia coli,Positive
192,4240,11,dbAMP_12013,Pseudomonas aeruginosa,Positive
193,3837,15,dbAMP_06055,Staphylococcus epidermidis,Positive
194,4806,3,dbAMP_16052,Bacillus subtilis,Positive
195,847,7,19691.0,Escherichia coli,Positive
196,10541,14,dbAMP_31330,Staphylococcus aureus,Positive
197,1119,11,20265.0,Pseudomonas aeruginosa,Positive
198,546,11,18640.0,Pseudomonas aeruginosa,Positive
199,6833,14,dbAMP_19256,Staphylococcus aureus,Positive
200,11234,11,dbAMP_33682,Pseudomonas aeruginosa,Positive
201,609,11,18814.0,Pseudomonas aeruginosa,Positive
202,1149,0,20311.0,Acinetobacter baumannii,Positive
203,4051,11,dbAMP_10839,Pseudomonas aeruginosa,Positive
204,1184,7,20350.0,Escherichia coli,Positive
205,6616,11,dbAMP_18941,Pseudomonas aeruginosa,Positive
206,1800,0,22061.0,Acinetobacter baumannii,Positive
207,2715,1,dbAMP_02104,Bacillus cereus,Positive
208,7553,15,dbAMP_20779,Staphylococcus epidermidis,Positive
209,10989,14,dbAMP_33192,Staphylococcus aureus,Positive
210,4551,14,dbAMP_15596,Staphylococcus aureus,Positive
211,4801,7,dbAMP_16047,Escherichia coli,Positive
212,2324,15,dbAMP_00316,Staphylococcus epidermidis,Positive
213,6866,13,dbAMP_19300,Salmonella enterica,Positive
214,4791,13,dbAMP_16037,Salmonella enterica,Positive
215,9347,14,dbAMP_23931,Staphylococcus aureus,Positive
216,8848,7,dbAMP_22885,Escherichia coli,Positive
217,9770,3,dbAMP_24652,Bacillus subtilis,Positive
218,10724,15,dbAMP_32276,Staphylococcus epidermidis,Positive
219,11203,14,dbAMP_33593,Staphylococcus aureus,Positive
220,10447,8,dbAMP_28725,Klebsiella pneumoniae,Positive
221,7100,9,dbAMP_19736,Listeria monocytogenes,Positive
222,2864,11,dbAMP_02511,Pseudomonas aeruginosa,Positive
223,10193,15,dbAMP_27085,Staphylococcus epidermidis,Positive
224,6843,3,dbAMP_19266,Bacillus subtilis,Positive
225,8,7,10295.0,Escherichia coli,Positive
226,2896,14,dbAMP_02609,Staphylococcus aureus,Positive
227,7846,14,dbAMP_21221,Staphylococcus aureus,Positive
228,7700,7,dbAMP_21022,Escherichia coli,Positive
229,10555,11,dbAMP_31445,Pseudomonas aeruginosa,Positive
230,910,8,19864.0,Klebsiella pneumoniae,Positive
231,6878,7,dbAMP_19312,Escherichia coli,Positive
232,1345,14,20810.0,Staphylococcus aureus,Positive
233,11431,14,dbAMP_34242,Staphylococcus aureus,Positive
234,3084,7,dbAMP_03100,Escherichia coli,Positive
235,7494,8,dbAMP_20672,Klebsiella pneumoniae,Positive
236,5299,14,dbAMP_16784,Staphylococcus aureus,Positive
237,4668,7,dbAMP_15891,Escherichia coli,Positive
238,5397,7,dbAMP_17015,Escherichia coli,Positive
239,496,11,18367.0,Pseudomonas aeruginosa,Positive
240,9914,14,dbAMP_24952,Staphylococcus aureus,Positive
241,4157,13,dbAMP_11278,Salmonella enterica,Positive
242,8596,0,dbAMP_22530,Acinetobacter baumannii,Positive
243,2317,9,dbAMP_00283,Listeria monocytogenes,Positive
244,7289,14,dbAMP_20341,Staphylococcus aureus,Positive
245,6866,0,dbAMP_19300,Acinetobacter baumannii,Positive
246,9336,15,dbAMP_23917,Staphylococcus epidermidis,Positive
247,6928,7,dbAMP_19391,Escherichia coli,Positive
248,6213,13,dbAMP_18405,Salmonella enterica,Positive
249,4025,14,dbAMP_10670,Staphylococcus aureus,Positive
250,960,8,19925.0,Klebsiella pneumoniae,Positive
251,6876,3,dbAMP_19310,Bacillus subtilis,Positive
252,7925,11,dbAMP_21357,Pseudomonas aeruginosa,Positive
253,10601,8,dbAMP_31742,Klebsiella pneumoniae,Positive
254,776,15,19551.0,Staphylococcus epidermidis,Positive
255,8958,10,dbAMP_23163,Micrococcus luteus,Positive
256,488,3,18331.0,Bacillus subtilis,Positive
257,5488,7,dbAMP_17157,Escherichia coli,Positive
258,2182,11,DRAMP03922,Pseudomonas aeruginosa,Positive
259,9370,12,dbAMP_23956,Saccharomyces cerevisiae,Positive
260,10850,14,dbAMP_32943,Staphylococcus aureus,Positive
261,10900,15,dbAMP_33029,Staphylococcus epidermidis,Positive
262,5970,14,dbAMP_17939,Staphylococcus aureus,Positive
263,6647,4,dbAMP_18981,Cryptococcus neoformans,Positive
264,6076,7,dbAMP_18099,Escherichia coli,Positive
265,10026,7,dbAMP_25158,Escherichia coli,Positive
266,829,3,19671.0,Bacillus subtilis,Positive
267,4208,7,dbAMP_11781,Escherichia coli,Positive
268,10924,11,dbAMP_33110,Pseudomonas aeruginosa,Positive
269,1646,11,21828.0,Pseudomonas aeruginosa,Positive
270,1141,7,20296.0,Escherichia coli,Positive
271,1963,11,3365.0,Pseudomonas aeruginosa,Positive
272,971,11,19940.0,Pseudomonas aeruginosa,Positive
273,6342,4,dbAMP_18586,Cryptococcus neoformans,Positive
274,10577,13,dbAMP_31648,Salmonella enterica,Positive
275,6771,14,dbAMP_19133,Staphylococcus aureus,Positive
276,4260,7,dbAMP_12239,Escherichia coli,Positive
277,5498,4,dbAMP_17188,Cryptococcus neoformans,Positive
278,1504,13,21331.0,Salmonella enterica,Positive
279,2192,7,DRAMP04166,Escherichia coli,Positive
280,1296,15,20582.0,Staphylococcus epidermidis,Positive
281,10406,14,dbAMP_27651,Staphylococcus aureus,Positive
282,7059,7,dbAMP_19666,Escherichia coli,Positive
283,10392,7,dbAMP_27631,Escherichia coli,Positive
284,5114,14,dbAMP_16416,Staphylococcus aureus,Positive
285,10779,3,dbAMP_32477,Bacillus subtilis,Positive
286,6362,7,dbAMP_18607,Escherichia coli,Positive
287,2944,7,dbAMP_02710,Escherichia coli,Positive
288,3367,7,dbAMP_03861,Escherichia coli,Positive
289,7573,14,dbAMP_20828,Staphylococcus aureus,Positive
290,6623,0,dbAMP_18952,Acinetobacter baumannii,Positive
291,11266,10,dbAMP_33781,Micrococcus luteus,Positive
292,8344,7,dbAMP_22067,Escherichia coli,Positive
293,10381,11,dbAMP_27609,Pseudomonas aeruginosa,Positive
294,4755,15,dbAMP_15998,Staphylococcus epidermidis,Positive
295,8977,14,dbAMP_23193,Staphylococcus aureus,Positive
296,10329,7,dbAMP_27474,Escherichia coli,Positive
297,6396,11,dbAMP_18658,Pseudomonas aeruginosa,Positive
298,2019,9,683.0,Listeria monocytogenes,Positive
299,9207,9,dbAMP_23689,Listeria monocytogenes,Positive
300,826,5,19668.0,Enterobacter cloacae,Positive
301,749,14,19485.0,Staphylococcus aureus,Positive
302,5682,7,dbAMP_17492,Escherichia coli,Positive
303,3192,3,dbAMP_03425,Bacillus subtilis,Positive
304,10376,11,dbAMP_27604,Pseudomonas aeruginosa,Positive
305,1829,11,22214.0,Pseudomonas aeruginosa,Positive
306,6771,11,dbAMP_19133,Pseudomonas aeruginosa,Positive
307,4049,8,dbAMP_10836,Klebsiella pneumoniae,Positive
308,11384,14,dbAMP_34149,Staphylococcus aureus,Positive
309,964,7,19929.0,Escherichia coli,Positive
310,2867,7,dbAMP_02522,Escherichia coli,Positive
311,2485,7,dbAMP_01625,Escherichia coli,Positive
312,9513,9,dbAMP_24183,Listeria monocytogenes,Positive
313,9211,14,dbAMP_23693,Staphylococcus aureus,Positive
314,1139,11,20294.0,Pseudomonas aeruginosa,Positive
315,7126,11,dbAMP_19776,Pseudomonas aeruginosa,Positive
316,4444,11,dbAMP_14844,Pseudomonas aeruginosa,Positive
317,768,7,19521.0,Escherichia coli,Positive
318,2163,2,DRAMP03181,Bacillus megaterium,Positive
319,5534,14,dbAMP_17290,Staphylococcus aureus,Positive
320,3525,7,dbAMP_04584,Escherichia coli,Positive
321,5470,14,dbAMP_17128,Staphylococcus aureus,Positive
322,8877,7,dbAMP_22938,Escherichia coli,Positive
323,1107,15,20205.0,Staphylococcus epidermidis,Positive
324,5764,7,dbAMP_17607,Escherichia coli,Positive
325,10910,0,dbAMP_33096,Acinetobacter baumannii,Positive
326,5458,11,dbAMP_17115,Pseudomonas aeruginosa,Positive
327,7267,7,dbAMP_20318,Escherichia coli,Positive
328,532,10,18609.0,Micrococcus luteus,Positive
329,7425,14,dbAMP_20519,Staphylococcus aureus,Positive
330,146,12,17348.0,Saccharomyces cerevisiae,Positive
331,6398,11,dbAMP_18660,Pseudomonas aeruginosa,Positive
332,8624,7,dbAMP_22594,Escherichia coli,Positive
333,3033,8,dbAMP_02995,Klebsiella pneumoniae,Positive
334,1965,7,3382.0,Escherichia coli,Positive
335,8271,7,dbAMP_21960,Escherichia coli,Positive
336,3820,11,dbAMP_05919,Pseudomonas aeruginosa,Positive
337,6626,4,dbAMP_18955,Cryptococcus neoformans,Positive
338,1994,12,5368.0,Saccharomyces cerevisiae,Positive
339,10757,6,dbAMP_32454,Enterococcus faecium,Positive
340,1063,14,20143.0,Staphylococcus aureus,Positive
341,6849,0,dbAMP_19282,Acinetobacter baumannii,Positive
342,1610,7,21673.0,Escherichia coli,Positive
343,3959,13,dbAMP_10413,Salmonella enterica,Positive
344,2773,12,dbAMP_02219,Saccharomyces cerevisiae,Positive
345,10495,3,dbAMP_28848,Bacillus subtilis,Positive
346,210,14,17515.0,Staphylococcus aureus,Positive
347,851,7,19697.0,Escherichia coli,Positive
348,6080,8,dbAMP_18104,Klebsiella pneumoniae,Positive
349,2075,11,9245.0,Pseudomonas aeruginosa,Positive
350,3452,14,dbAMP_04304,Staphylococcus aureus,Positive
351,837,11,19679.0,Pseudomonas aeruginosa,Positive
352,8873,14,dbAMP_22930,Staphylococcus aureus,Positive
353,907,7,19861.0,Escherichia coli,Positive
354,5728,14,dbAMP_17546,Staphylococcus aureus,Positive
355,1368,9,20856.0,Listeria monocytogenes,Positive
356,9840,14,dbAMP_24821,Staphylococcus aureus,Positive
357,4907,13,dbAMP_16168,Salmonella enterica,Positive
358,7099,7,dbAMP_19735,Escherichia coli,Positive
359,9148,15,dbAMP_23570,Staphylococcus epidermidis,Positive
360,11030,14,dbAMP_33233,Staphylococcus aureus,Positive
361,3803,7,dbAMP_05835,Escherichia coli,Positive
362,2809,9,dbAMP_02310,Listeria monocytogenes,Positive
363,3153,14,dbAMP_03322,Staphylococcus aureus,Positive
364,599,13,18784.0,Salmonella enterica,Positive
365,4026,15,dbAMP_10671,Staphylococcus epidermidis,Positive
366,4710,1,dbAMP_15950,Bacillus cereus,Positive
367,6561,15,dbAMP_18876,Staphylococcus epidermidis,Positive
368,9080,3,dbAMP_23342,Bacillus subtilis,Positive
369,5699,13,dbAMP_17513,Salmonella enterica,Positive
370,9065,15,dbAMP_23312,Staphylococcus epidermidis,Positive
371,6314,7,dbAMP_18558,Escherichia coli,Positive
372,8983,7,dbAMP_23200,Escherichia coli,Positive
373,8969,11,dbAMP_23182,Pseudomonas aeruginosa,Positive
374,1151,14,20316.0,Staphylococcus aureus,Positive
375,10037,14,dbAMP_25188,Staphylococcus aureus,Positive
376,10517,7,dbAMP_31180,Escherichia coli,Positive
377,2537,14,dbAMP_01743,Staphylococcus aureus,Positive
378,11580,7,dbAMP_34583,Escherichia coli,Positive
379,4199,13,dbAMP_11731,Salmonella enterica,Positive
380,3358,7,dbAMP_03834,Escherichia coli,Positive
381,4141,7,dbAMP_11177,Escherichia coli,Positive
382,9104,7,dbAMP_23455,Escherichia coli,Positive
383,9306,14,dbAMP_23867,Staphylococcus aureus,Positive
384,8882,11,dbAMP_22947,Pseudomonas aeruginosa,Positive
385,4988,3,dbAMP_16253,Bacillus subtilis,Positive
386,2682,11,dbAMP_02051,Pseudomonas aeruginosa,Positive
387,3207,14,dbAMP_03450,Staphylococcus aureus,Positive
388,6698,3,dbAMP_19046,Bacillus subtilis,Positive
389,3562,14,dbAMP_04696,Staphylococcus aureus,Positive
390,4489,8,dbAMP_14889,Klebsiella pneumoniae,Positive
391,5664,0,dbAMP_17473,Acinetobacter baumannii,Positive
392,861,0,19706.0,Acinetobacter baumannii,Positive
393,3757,7,dbAMP_05530,Escherichia coli,Positive
394,6691,14,dbAMP_19038,Staphylococcus aureus,Positive
395,6870,0,dbAMP_19304,Acinetobacter baumannii,Positive
396,5152,8,dbAMP_16499,Klebsiella pneumoniae,Positive
397,3844,8,dbAMP_06086,Klebsiella pneumoniae,Positive
398,4878,15,dbAMP_16139,Staphylococcus epidermidis,Positive
399,7866,7,dbAMP_21265,Escherichia coli,Positive
400,10026,15,dbAMP_25158,Staphylococcus epidermidis,Positive
401,10196,14,dbAMP_27091,Staphylococcus aureus,Positive
402,2132,14,DRAMP02362,Staphylococcus aureus,Positive
403,5196,7,dbAMP_16582,Escherichia coli,Positive
404,5535,11,dbAMP_17292,Pseudomonas aeruginosa,Positive
405,7714,11,dbAMP_21036,Pseudomonas aeruginosa,Positive
406,10189,7,dbAMP_27070,Escherichia coli,Positive
407,3943,5,dbAMP_10311,Enterobacter cloacae,Positive
408,720,11,19353.0,Pseudomonas aeruginosa,Positive
409,9828,12,dbAMP_24792,Saccharomyces cerevisiae,Positive
410,3667,3,dbAMP_05113,Bacillus subtilis,Positive
411,2414,3,dbAMP_00882,Bacillus subtilis,Positive
412,6039,13,dbAMP_18043,Salmonella enterica,Positive
413,4661,8,dbAMP_15876,Klebsiella pneumoniae,Positive
414,5114,7,dbAMP_16416,Escherichia coli,Positive
415,7872,7,dbAMP_21272,Escherichia coli,Positive
416,9707,7,dbAMP_24553,Escherichia coli,Positive
417,8380,14,dbAMP_22152,Staphylococcus aureus,Positive
418,2684,14,dbAMP_02053,Staphylococcus aureus,Positive
419,4598,11,dbAMP_15786,Pseudomonas aeruginosa,Positive
420,1343,14,20808.0,Staphylococcus aureus,Positive
421,176,4,17434.0,Cryptococcus neoformans,Positive
422,1352,15,20826.0,Staphylococcus epidermidis,Positive
423,8339,3,dbAMP_22044,Bacillus subtilis,Positive
424,3535,14,dbAMP_04606,Staphylococcus aureus,Positive
425,6089,14,dbAMP_18116,Staphylococcus aureus,Positive
426,1960,9,3343.0,Listeria monocytogenes,Positive
427,9940,0,dbAMP_25011,Acinetobacter baumannii,Positive
428,5164,7,dbAMP_16511,Escherichia coli,Positive
429,3208,10,dbAMP_03451,Micrococcus luteus,Positive
430,4794,3,dbAMP_16040,Bacillus subtilis,Positive
431,10590,3,dbAMP_31701,Bacillus subtilis,Positive
432,975,7,19944.0,Escherichia coli,Positive
433,9023,11,dbAMP_23253,Pseudomonas aeruginosa,Positive
434,6938,7,dbAMP_19412,Escherichia coli,Positive
435,10645,3,dbAMP_31874,Bacillus subtilis,Positive
436,10739,14,dbAMP_32341,Staphylococcus aureus,Positive
437,6877,7,dbAMP_19311,Escherichia coli,Positive
438,8937,13,dbAMP_23129,Salmonella enterica,Positive
439,8011,8,dbAMP_21493,Klebsiella pneumoniae,Positive
440,6833,7,dbAMP_19256,Escherichia coli,Positive
441,2951,7,dbAMP_02735,Escherichia coli,Positive
442,10995,14,dbAMP_33198,Staphylococcus aureus,Positive
443,7605,8,dbAMP_20925,Klebsiella pneumoniae,Positive
444,909,8,19863.0,Klebsiella pneumoniae,Positive
445,5952,7,dbAMP_17901,Escherichia coli,Positive
446,744,0,19468.0,Acinetobacter baumannii,Positive
447,6756,0,dbAMP_19113,Acinetobacter baumannii,Positive
448,3902,14,dbAMP_09881,Staphylococcus aureus,Positive
449,6851,11,dbAMP_19284,Pseudomonas aeruginosa,Positive
450,4395,2,dbAMP_14793,Bacillus megaterium,Positive
451,11261,5,dbAMP_33720,Enterobacter cloacae,Positive
452,6230,7,dbAMP_18433,Escherichia coli,Positive
453,11487,7,dbAMP_34298,Escherichia coli,Positive
454,3599,14,dbAMP_04788,Staphylococcus aureus,Positive
455,10065,7,dbAMP_25245,Escherichia coli,Positive
456,7226,14,dbAMP_20142,Staphylococcus aureus,Positive
457,2907,7,dbAMP_02635,Escherichia coli,Positive
458,4789,13,dbAMP_16035,Salmonella enterica,Positive
459,6342,0,dbAMP_18586,Acinetobacter baumannii,Positive
460,693,9,19225.0,Listeria monocytogenes,Positive
461,8658,14,dbAMP_22642,Staphylococcus aureus,Positive
462,10008,15,dbAMP_25115,Staphylococcus epidermidis,Positive
463,5630,8,dbAMP_17437,Klebsiella pneumoniae,Positive
464,9348,15,dbAMP_23932,Staphylococcus epidermidis,Positive
465,7108,3,dbAMP_19745,Bacillus subtilis,Positive
466,2880,3,dbAMP_02560,Bacillus subtilis,Positive
